Roll_no,Age,marks,Department
203,22.0,,AIML
203,18.0,69.0,ECE
203,22.0,48.0,ECE
203,22.0,73.0,nan
203,23.0,92.0,nan
203,22.0,83.0,BT
203,20.0,,ME
203,21.0,91.0,ECE
203,19.0,97.0,ECE
203,20.0,61.0,AIML
203,22.0,83.0,Automation
203,23.0,63.0,ME
203,18.0,56.0,ME
203,22.0,49.0,ECE
203,23.0,,CSE
203,21.0,95.0,Automation
203,22.0,98.0,ME
203,18.0,,ECE
203,23.0,62.0,ME
203,23.0,71.0,Automation
203,23.0,56.0,Automation
203,21.0,89.0,BT
203,,90.0,AIML
203,21.0,56.0,AIML
203,19.0,53.0,ECE
203,19.0,48.0,Automation
203,22.0,79.0,BT
203,21.0,41.0,BT
203,18.0,84.0,ME
203,,64.0,ME
203,23.0,78.0,BT
203,22.0,48.0,ME
203,19.0,93.0,Automation
203,19.0,61.0,CSE
203,23.0,82.0,Automation
203,22.0,85.0,BT
203,21.0,43.0,BT
203,19.0,,Automation
203,21.0,97.0,ME
203,19.0,68.0,ME
203,19.0,84.0,nan
203,20.0,73.0,BT
203,19.0,,ECE
203,18.0,76.0,AIML
203,22.0,50.0,ME
203,22.0,45.0,Automation
203,21.0,57.0,ME
203,19.0,60.0,Automation
203,,81.0,nan
203,21.0,75.0,BT
203,20.0,80.0,ME
203,21.0,77.0,Automation
203,21.0,73.0,BT
203,19.0,56.0,ECE
203,20.0,76.0,Automation
203,,64.0,AIML
203,18.0,77.0,ECE
203,18.0,97.0,ECE
203,22.0,51.0,CSE
203,20.0,62.0,ME
203,20.0,92.0,Automation
203,22.0,81.0,ECE
203,21.0,61.0,CSE
203,20.0,60.0,AIML
203,18.0,66.0,BT
203,18.0,96.0,Automation
203,19.0,70.0,ECE
203,20.0,45.0,ME
203,21.0,66.0,CSE
203,22.0,79.0,ECE
203,22.0,73.0,ME
203,21.0,51.0,ECE
203,23.0,,Automation
203,19.0,96.0,Automation
203,22.0,,Automation
203,20.0,46.0,nan
203,19.0,49.0,AIML
203,20.0,84.0,CSE
203,18.0,56.0,Automation
203,19.0,65.0,ME
203,22.0,60.0,ECE
203,19.0,67.0,BT
203,19.0,97.0,ME
203,19.0,85.0,AIML
203,23.0,41.0,AIML
203,19.0,99.0,nan
203,20.0,93.0,AIML
203,18.0,82.0,Automation
203,21.0,40.0,CSE
203,19.0,90.0,ECE
203,22.0,,cse
203,19.0,75.0,ECE
203,22.0,90.0,ECE
203,20.0,65.0,CSE
203,22.0,68.0,ME
203,,60.0,ECE
203,18.0,50.0,CSE
203,22.0,,ECE
203,22.0,50.0,BT
203,18.0,75.0,ME
203,21.0,88.0,Automation
203,19.0,98.0,ECE
203,22.0,78.0,BT
203,18.0,79.0,Automation
203,20.0,74.0,Automation
203,18.0,93.0,ECE
203,20.0,73.0,CSE
203,21.0,94.0,ECE
203,19.0,,BT
203,18.0,63.0,Automation
203,23.0,93.0,ECE
203,22.0,61.0,CSE
203,21.0,44.0,ECE
203,18.0,95.0,ME
203,22.0,72.0,CSE
203,18.0,97.0,BT
203,20.0,75.0,nan
203,18.0,-10.0,ECE
203,23.0,59.0,CSE
203,18.0,58.0,ME
203,18.0,74.0,CSE
203,23.0,91.0,AIML
203,21.0,82.0,nan
203,18.0,56.0,BT
203,23.0,98.0,Automation
203,22.0,84.0,BT
203,20.0,82.0,ECE
203,240.0,73.0,CSE
203,18.0,48.0,AIML
203,21.0,65.0,ME
203,21.0,41.0,ME
203,22.0,92.0,CSE
203,18.0,48.0,nan
203,20.0,48.0,CSE
203,-5.0,79.0,ECE
203,18.0,56.0,BT
203,21.0,40.0,ME
203,23.0,64.0,ECE
203,21.0,100.0,BT
203,20.0,82.0,ECE
203,19.0,79.0,nan
203,22.0,81.0,ME
203,22.0,64.0,CSE
203,20.0,78.0,CSE
203,21.0,74.0,BT
203,18.0,42.0,Automation
203,21.0,89.0,AIML
203,20.0,76.0,BT
203,22.0,83.0,Automation
203,21.0,83.0,ECE
203,22.0,90.0,AIML
203,18.0,69.0,ECE
203,22.0,77.0,ME
203,22.0,73.0,AIML
203,19.0,51.0,Automation
203,19.0,58.0,ME
203,23.0,,CSE
203,19.0,83.0,Automation
203,22.0,98.0,BT
203,20.0,98.0,CSE
203,22.0,88.0,CSE
203,20.0,100.0,BT
203,20.0,56.0,AIML
203,19.0,49.0,nan
203,21.0,96.0,Automation
203,18.0,94.0,ME
203,19.0,88.0,CSE
203,19.0,86.0,Automation
203,21.0,51.0,ECE
203,18.0,55.0,Automation
203,22.0,,ME
203,23.0,58.0,Automation
203,-5.0,47.0,BT
203,22.0,70.0,ME
203,19.0,60.0,AIML
203,18.0,56.0,ECE
203,19.0,62.0,BT
203,20.0,76.0,AIML
203,19.0,93.0,Automation
203,19.0,55.0,ME
203,22.0,45.0,ECE
203,22.0,47.0,BT
203,22.0,,AIML
203,23.0,57.0,AIML
203,20.0,64.0,ECE
203,22.0,51.0,Automation
203,18.0,54.0,ece
203,23.0,98.0,AIML
203,21.0,65.0,CSE
203,18.0,-10.0,nan
203,18.0,84.0,ECE
203,22.0,65.0,AIML
203,21.0,86.0,Automation
203,21.0,71.0,AIML
203,23.0,49.0,Automation
203,,55.0,ECE
203,20.0,46.0,automation
203,22.0,56.0,ME
203,21.0,62.0,ME
203,23.0,65.0,ME
203,20.0,60.0,CSE
203,19.0,61.0,ECE
203,19.0,97.0,AIML
203,20.0,46.0,AIML
203,23.0,53.0,CSE
203,20.0,54.0,Automation
203,22.0,92.0,CSE
203,22.0,,Automation
203,19.0,48.0,Automation
203,21.0,90.0,BT
203,23.0,87.0,AIML
203,19.0,47.0,ME
203,21.0,89.0,Automation
203,21.0,98.0,BT
203,,62.0,AIML
203,18.0,,ME
203,18.0,57.0,Automation
203,20.0,70.0,Automation
203,22.0,69.0,CSE
203,21.0,91.0,CSE
203,23.0,78.0,AIML
203,18.0,74.0,ME
203,21.0,57.0,Automation
203,18.0,98.0,AIML
203,18.0,81.0,AIML
203,18.0,78.0,ECE
203,23.0,56.0,CSE
203,22.0,53.0,ME
203,23.0,70.0,Automation
203,19.0,63.0,AIML
203,21.0,74.0,Automation
203,22.0,83.0,ECE
203,22.0,99.0,ME
203,22.0,84.0,AIML
203,22.0,73.0,Automation
203,23.0,42.0,CSE
203,22.0,76.0,ECE
203,20.0,82.0,ME
203,21.0,79.0,ECE
203,22.0,65.0,CSE
203,,94.0,ME
203,20.0,62.0,ECE
203,20.0,,BT
203,21.0,78.0,CSE
203,18.0,54.0,CSE
203,19.0,95.0,CSE
203,18.0,88.0,BT
203,18.0,43.0,BT
203,23.0,68.0,Automation
203,18.0,61.0,AIML
203,22.0,64.0,ECE
203,23.0,52.0,Automation
203,23.0,57.0,ECE
203,20.0,72.0,AIML
203,18.0,55.0,BT
203,20.0,84.0,AIML
203,21.0,81.0,BT
203,19.0,83.0,aiml
203,23.0,,Automation
203,21.0,94.0,ME
203,21.0,74.0,Automation
203,,81.0,ECE
203,19.0,73.0,Automation
203,21.0,69.0,CSE
203,,98.0,ECE
203,19.0,94.0,AIML
203,19.0,52.0,ECE
203,21.0,52.0,ME
203,19.0,57.0,BT
203,21.0,71.0,AIML
203,21.0,71.0,ECE
203,22.0,74.0,AIML
203,18.0,98.0,AIML
203,21.0,78.0,AIML
203,20.0,85.0,BT
203,23.0,91.0,Automation
203,18.0,68.0,AIML
203,18.0,88.0,CSE
203,18.0,68.0,ME
203,22.0,92.0,BT
203,21.0,83.0,ECE
203,22.0,96.0,BT
203,21.0,55.0,ECE
203,22.0,95.0,nan
203,22.0,83.0,ECE
203,23.0,86.0,AIML
203,20.0,96.0,Automation
203,22.0,49.0,ECE
203,23.0,69.0,ECE
203,19.0,,CSE
203,20.0,78.0,ECE
203,22.0,59.0,CSE
203,18.0,44.0,ME
203,19.0,40.0,AIML
203,19.0,69.0,CSE
203,23.0,88.0,Automation
203,19.0,42.0,AIML
203,20.0,84.0,CSE
203,22.0,53.0,AIML
203,22.0,95.0,AIML
203,18.0,69.0,AIML
203,23.0,89.0,ME
203,18.0,43.0,Automation
203,19.0,57.0,nan
203,18.0,,BT
203,20.0,64.0,CSE
203,22.0,150.0,AIML
203,19.0,40.0,CSE
203,18.0,92.0,ME
203,23.0,85.0,ME
203,20.0,54.0,ECE
203,20.0,48.0,ME
203,18.0,54.0,ECE
203,22.0,-10.0,Automation
203,18.0,96.0,CSE
203,,63.0,nan
203,18.0,43.0,ME
203,20.0,51.0,Automation
203,18.0,98.0,Automation
203,,97.0,Automation
203,23.0,76.0,ME
203,21.0,100.0,AIML
203,18.0,76.0,Automation
203,22.0,82.0,ECE
203,22.0,99.0,ME
203,23.0,45.0,Automation
203,20.0,78.0,AIML
203,22.0,95.0,ME
203,22.0,85.0,BT
203,22.0,63.0,AIML
203,22.0,50.0,ECE
203,19.0,52.0,Automation
203,19.0,73.0,BT
203,20.0,64.0,BT
203,18.0,46.0,ME
203,,91.0,BT
203,23.0,43.0,ECE
203,18.0,98.0,ECE
203,23.0,47.0,CSE
203,18.0,59.0,ECE
203,20.0,150.0,AIML
203,22.0,93.0,BT
203,22.0,92.0,ECE
203,21.0,90.0,ME
203,23.0,84.0,CSE
203,18.0,85.0,BT
203,18.0,49.0,CSE
203,19.0,82.0,BT
203,21.0,73.0,ME
203,19.0,96.0,CSE
203,19.0,65.0,Automation
203,19.0,,AIML
203,23.0,88.0,AIML
203,,97.0,BT
203,20.0,42.0,Automation
203,20.0,95.0,CSE
203,19.0,45.0,Automation
203,21.0,44.0,Automation
203,18.0,44.0,CSE
203,23.0,93.0,ME
203,21.0,,Automation
203,,62.0,Automation
203,23.0,88.0,ME
203,,48.0,Automation
203,20.0,74.0,Automation
203,18.0,59.0,Automation
203,18.0,97.0,AIML
203,22.0,88.0,ECE
203,22.0,100.0,ME
203,23.0,,Automation
203,19.0,81.0,AIML
203,20.0,74.0,ME
203,20.0,89.0,BT
203,23.0,57.0,BT
203,21.0,56.0,Automation
203,19.0,63.0,AIML
203,23.0,42.0,AIML
203,19.0,71.0,ME
203,19.0,74.0,ME
203,19.0,77.0,AIML
203,23.0,52.0,ME
203,20.0,95.0,AIML
203,20.0,100.0,ECE
203,19.0,86.0,AIML
203,21.0,64.0,BT
203,18.0,48.0,ME
203,23.0,43.0,AIML
203,18.0,53.0,AIML
203,21.0,76.0,ME
203,23.0,73.0,ECE
203,19.0,50.0,ECE
203,20.0,80.0,ME
203,18.0,95.0,CSE
203,22.0,42.0,ME
203,22.0,98.0,ME
203,21.0,67.0,ECE
203,19.0,68.0,ECE
203,18.0,48.0,ME
203,19.0,42.0,ME
203,18.0,64.0,ME
203,21.0,73.0,ECE
203,21.0,51.0,ME
203,22.0,81.0,ME
203,19.0,48.0,Automation
203,23.0,54.0,CSE
203,22.0,79.0,nan
203,19.0,64.0,CSE
203,22.0,44.0,Automation
203,23.0,50.0,BT
203,20.0,98.0,ME
203,20.0,73.0,Automation
203,20.0,63.0,ME
203,20.0,99.0,ECE
203,18.0,54.0,AIML
203,,77.0,Automation
203,23.0,47.0,ECE
203,21.0,98.0,Automation
203,,44.0,Automation
203,18.0,87.0,ECE
203,20.0,65.0,BT
203,20.0,57.0,CSE
203,20.0,45.0,ME
203,22.0,76.0,Automation
203,19.0,99.0,ME
203,22.0,87.0,AIML
203,19.0,52.0,ECE
203,20.0,,ME
203,20.0,44.0,ECE
203,22.0,52.0,ME
203,22.0,56.0,CSE
203,19.0,89.0,CSE
203,21.0,79.0,CSE
203,19.0,84.0,CSE
203,22.0,71.0,CSE
203,23.0,68.0,CSE
203,22.0,,ECE
203,23.0,97.0,Automation
203,18.0,42.0,ME
203,22.0,95.0,CSE
203,18.0,79.0,ECE
203,21.0,73.0,ECE
203,,79.0,ECE
203,23.0,66.0,Automation
203,19.0,52.0,ME
203,18.0,84.0,Automation
203,23.0,72.0,BT
203,19.0,45.0,nan
203,22.0,63.0,BT
203,20.0,58.0,AIML
203,,55.0,CSE
203,19.0,79.0,CSE
203,18.0,67.0,Automation
203,18.0,72.0,ME
203,23.0,98.0,BT
203,,98.0,ME
203,20.0,87.0,Automation
203,22.0,80.0,CSE
203,18.0,52.0,nan
203,19.0,82.0,ME
203,21.0,84.0,CSE
203,18.0,64.0,BT
203,18.0,92.0,CSE
203,20.0,81.0,ME
203,22.0,75.0,BT
203,21.0,66.0,BT
203,23.0,77.0,CSE
203,23.0,99.0,ME
203,19.0,46.0,Automation
203,,44.0,ME
203,23.0,82.0,ECE
203,240.0,84.0,AIML
203,,97.0,Automation
203,19.0,96.0,BT
203,23.0,90.0,Automation
203,20.0,70.0,BT
203,20.0,62.0,nan
203,-5.0,81.0,Automation
203,23.0,49.0,BT
203,20.0,71.0,BT
203,21.0,82.0,ECE
203,22.0,92.0,ME
203,19.0,69.0,ME
203,19.0,78.0,AIML
203,,70.0,AIML
203,,57.0,ECE
203,20.0,75.0,AIML
203,18.0,,Automation
203,22.0,53.0,CSE
203,21.0,52.0,CSE
203,19.0,68.0,CSE
203,18.0,51.0,ECE
203,18.0,78.0,ECE
203,23.0,41.0,BT
203,19.0,71.0,CSE
203,23.0,52.0,Automation
203,21.0,85.0,AIML
203,18.0,66.0,Automation
203,18.0,88.0,AIML
203,22.0,80.0,CSE
203,21.0,56.0,CSE
203,18.0,79.0,CSE
203,21.0,70.0,ECE
203,19.0,73.0,nan
203,20.0,-10.0,ECE
203,18.0,63.0,ECE
203,22.0,84.0,ME
203,19.0,74.0,Automation
203,21.0,87.0,Automation
203,23.0,,BT
203,19.0,58.0,ECE
203,18.0,69.0,AIML
203,21.0,46.0,ME
203,,49.0,ME
203,19.0,80.0,nan
203,18.0,71.0,ECE
203,22.0,73.0,BT
203,23.0,67.0,ECE
203,21.0,99.0,CSE
203,19.0,54.0,ECE
203,19.0,69.0,CSE
203,20.0,76.0,CSE
203,20.0,68.0,BT
203,22.0,,AIML
203,,43.0,nan
203,22.0,59.0,ECE
203,18.0,71.0,CSE
203,18.0,75.0,ECE
203,22.0,89.0,AIML
